Channel              :		CH1		CH2
Frequency            :		1.381kHz		  ?
Period               :		0.724ms		  ?
PK-PK                :		703.1mV		5.469mV
Probe attenuation    :		1X		1X
Voltage per ADC value:		4.882813mV		0.012207mV
Time interval        :		0.20000uS		0.20000uS

index		CH1_Voltage(mV)		CH2_Voltage(mV)
514		-312.500000		1.367188
515		-312.500000		1.367188
516		-312.500000		2.539063
517		-312.500000		1.171875
518		-312.500000		2.734375
519		-312.500000		1.367188
520		-312.500000		2.148438
521		-312.500000		1.171875
522		-312.500000		1.562500
523		-312.500000		1.562500
524		-312.500000		1.953125
525		-312.500000		2.148438
526		-312.500000		1.953125
527		-312.500000		1.171875
528		-312.500000		1.562500
529		-312.500000		1.171875
530		-312.500000		1.953125
531		-312.500000		1.562500
532		-312.500000		2.734375
533		-312.500000		1.367188
534		-312.500000		1.953125
535		-312.500000		0.976563
536		-312.500000		1.562500
537		-312.500000		1.562500
538		-312.500000		2.148438
539		-312.500000		1.757813
540		-312.500000		2.148438
541		-312.500000		1.562500
542		-312.500000		1.562500
543		-312.500000		1.367188
544		-312.500000		1.953125
545		-312.500000		1.757813
546		-312.500000		2.539063
547		-312.500000		0.781250
548		-312.500000		1.562500
549		-312.500000		0.390625
550		-312.500000		1.953125
551		-312.500000		1.171875
552		-312.500000		1.953125
553		-312.500000		1.953125
554		-312.500000		2.343750
555		-312.500000		1.367188
556		-312.500000		1.562500
557		-312.500000		1.171875
558		-312.500000		1.562500
559		-312.500000		1.367188
560		-312.500000		2.539063
561		-312.500000		1.367188
562		-312.500000		2.343750
563		-312.500000		0.781250
564		-312.500000		2.148438
565		-312.500000		0.976563
566		-312.500000		2.148438
567		-312.500000		1.562500
568		-312.500000		2.148438
569		-312.500000		0.781250
570		-312.500000		0.976563
571		-312.500000		0.781250
572		-312.500000		1.562500
573		-312.500000		2.148438
574		-312.500000		2.148438
575		-312.500000		1.367188
576		-312.500000		2.734375
577		-312.500000		0.585938
578		-312.500000		1.757813
579		-312.500000		0.390625
580		-312.500000		2.148438
581		-312.500000		1.367188
582		-312.500000		2.539063
583		-312.500000		1.367188
584		-312.500000		1.953125
585		-312.500000		1.171875
586		-312.500000		1.367188
587		-312.500000		1.171875
588		-312.500000		1.757813
589		-312.500000		1.367188
590		-312.500000		2.343750
591		-312.500000		1.171875
592		-312.500000		2.148438
593		-312.500000		0.781250
594		-312.500000		1.953125
595		-312.500000		0.976563
596		-312.500000		2.539063
597		-312.500000		1.562500
598		-312.500000		2.343750
599		-312.500000		1.171875
600		-312.500000		1.562500
601		-312.500000		0.976563
602		-312.500000		1.757813
603		-312.500000		0.976563
604		-312.500000		2.343750
605		-312.500000		1.171875
606		-312.500000		2.148438
607		-312.500000		1.367188
608		-312.500000		1.953125
609		-312.500000		0.781250
610		-312.500000		2.148438
611		-312.500000		0.976563
612		-312.500000		2.539063
613		-312.500000		0.976563
614		-312.500000		1.953125
615		-312.500000		0.781250
616		-312.500000		1.367188
617		-312.500000		0.976563
618		-312.500000		1.953125
619		-312.500000		1.171875
620		-312.500000		1.953125
621		-312.500000		0.781250
622		-312.500000		1.562500
623		-312.500000		0.585938
624		-312.500000		1.953125
625		-312.500000		0.585938
626		-312.500000		2.734375
627		-312.500000		0.976563
628		-312.500000		2.148438
629		-312.500000		0.976563
630		-312.500000		1.367188
631		-312.500000		0.781250
632		-312.500000		1.953125
633		-312.500000		1.757813
634		-312.500000		1.757813
635		-312.500000		0.000000
636		-312.500000		1.953125
637		-312.500000		0.976563
638		-312.500000		1.757813
639		-312.500000		0.781250
640		-312.500000		2.148438
641		-312.500000		0.781250
642		-312.500000		2.343750
643		-312.500000		0.585938
644		-312.500000		1.562500
645		-312.500000		0.585938
646		-312.500000		1.367188
647		-312.500000		1.171875
648		-312.500000		2.148438
649		-312.500000		1.171875
650		-312.500000		1.562500
651		-312.500000		0.781250
652		-312.500000		1.171875
653		-312.500000		1.562500
654		-312.500000		2.343750
655		-312.500000		0.976563
656		-312.500000		1.562500
657		-312.500000		0.390625
658		-312.500000		1.562500
659		-312.500000		0.390625
660		-312.500000		1.757813
661		-312.500000		1.171875
662		-312.500000		2.148438
663		-312.500000		1.171875
664		-312.500000		1.562500
665		-312.500000		0.976563
666		-312.500000		1.171875
667		-312.500000		0.976563
668		-312.500000		1.953125
669		-312.500000		0.976563
670		-312.500000		2.343750
671		-312.500000		0.585938
672		-312.500000		1.953125
673		-312.500000		0.000000
674		-312.500000		1.757813
675		-312.500000		0.976563
676		-312.500000		2.148438
677		-312.500000		1.171875
678		-312.500000		1.757813
679		-312.500000		1.171875
680		-312.500000		1.367188
681		-312.500000		0.781250
682		-312.500000		1.367188
683		-312.500000		1.171875
684		-312.500000		2.148438
685		-312.500000		1.171875
686		-312.500000		1.757813
687		-312.500000		0.390625
688		-312.500000		1.757813
689		-312.500000		0.585938
690		-312.500000		2.343750
691		-312.500000		0.976563
692		-312.500000		1.953125
693		-312.500000		0.781250
694		-312.500000		1.171875
695		-312.500000		0.976563
696		-312.500000		1.171875
697		-312.500000		1.171875
698		-312.500000		1.367188
699		-312.500000		1.367188
700		-312.500000		1.757813
701		-312.500000		0.781250
702		-312.500000		1.562500
703		-312.500000		0.781250
704		-312.500000		2.343750
705		-312.500000		0.976563
706		-312.500000		2.343750
707		-312.500000		0.781250
708		-312.500000		1.367188
709		-312.500000		0.585938
710		-312.500000		1.171875
711		-312.500000		1.171875
712		-312.500000		1.953125
713		-312.500000		1.367188
714		-312.500000		1.562500
715		-312.500000		1.171875
716		-312.500000		1.562500
717		-312.500000		0.781250
718		-312.500000		1.562500
719		-312.500000		0.976563
720		-312.500000		2.539063
721		-312.500000		0.976563
722		-312.500000		1.757813
723		-312.500000		0.585938
724		-312.500000		2.539063
725		-312.500000		2.148438
726		-312.500000		2.148438
727		-312.500000		1.757813
728		-312.500000		1.562500
729		-312.500000		1.171875
730		-312.500000		1.367188
731		-312.500000		1.367188
732		-312.500000		1.562500
733		-312.500000		1.171875
734		-312.500000		2.148438
735		-312.500000		0.976563
736		-312.500000		1.953125
737		-312.500000		0.585938
738		-312.500000		1.953125
739		-312.500000		1.171875
740		-312.500000		0.976563
741		-312.500000		1.171875
742		-312.500000		2.148438
743		-312.500000		1.562500
744		-312.500000		0.976563
745		-312.500000		1.171875
746		-312.500000		1.171875
747		-312.500000		1.562500
748		-312.500000		1.953125
749		-312.500000		1.171875
750		-312.500000		1.757813
751		-312.500000		0.585938
752		-312.500000		1.367188
753		-312.500000		0.585938
754		-312.500000		1.757813
755		-312.500000		1.367188
756		-312.500000		1.953125
757		-312.500000		1.367188
758		-312.500000		1.367188
759		-312.500000		0.976563
760		-312.500000		0.976563
761		-312.500000		1.367188
762		-312.500000		1.757813
763		-312.500000		1.367188
764		-312.500000		1.757813
765		-312.500000		0.585938
766		-312.500000		1.171875
767		-312.500000		0.390625
768		-312.500000		1.757813
769		-312.500000		1.171875
770		-312.500000		2.148438
771		-312.500000		1.171875
772		-312.500000		1.757813
773		-312.500000		0.976563
774		-312.500000		0.976563
775		-312.500000		1.171875
776		-312.500000		1.171875
777		-312.500000		1.367188
778		-312.500000		1.562500
779		-312.500000		0.585938
780		-312.500000		0.976563
781		-312.500000		0.390625
782		-312.500000		1.562500
783		-312.500000		0.976563
784		-312.500000		2.343750
785		-312.500000		0.585938
786		-312.500000		1.953125
787		-312.500000		0.585938
788		-312.500000		1.171875
789		-312.500000		0.976563
790		-312.500000		1.367188
791		-312.500000		1.367188
792		-312.500000		1.562500
793		-312.500000		1.171875
794		-312.500000		1.171875
795		-312.500000		0.390625
796		-312.500000		1.171875
797		-312.500000		0.585938
798		-312.500000		2.539063
799		-312.500000		0.781250
800		-312.500000		1.562500
801		-312.500000		0.390625
802		-312.500000		1.171875
803		-312.500000		0.585938
804		-312.500000		1.562500
805		-312.500000		1.171875
806		-312.500000		1.757813
807		-312.500000		0.976563
808		-312.500000		0.976563
809		-312.500000		0.585938
810		-312.500000		1.171875
811		-312.500000		0.781250
812		-312.500000		2.148438
813		-312.500000		0.390625
814		-312.500000		1.171875
815		-312.500000		0.000000
816		-312.500000		1.367188
817		-312.500000		0.585938
818		-312.500000		1.953125
819		-312.500000		1.171875
820		-312.500000		1.953125
821		-312.500000		1.171875
822		-312.500000		0.976563
823		-312.500000		1.757813
824		-312.500000		1.757813
825		-312.500000		0.976563
826		-312.500000		1.171875
827		-312.500000		0.390625
828		-312.500000		2.148438
829		-312.500000		0.390625
830		-312.500000		1.367188
831		-312.500000		0.390625
832		-312.500000		1.562500
833		-312.500000		0.976563
834		-312.500000		1.953125
835		-312.500000		0.976563
836		-312.500000		1.367188
837		-312.500000		0.585938
838		-312.500000		0.976563
839		-312.500000		0.390625
840		-312.500000		1.367188
841		-312.500000		0.781250
842		-312.500000		1.953125
843		-312.500000		0.781250
844		-312.500000		1.367188
845		-312.500000		0.195313
846		-312.500000		1.757813
847		-312.500000		0.781250
848		-312.500000		2.148438
849		-312.500000		0.976563
850		-312.500000		1.953125
851		-312.500000		0.585938
852		-312.500000		1.171875
853		-312.500000		0.585938
854		-312.500000		1.367188
855		-312.500000		0.976563
856		-312.500000		2.148438
857		-312.500000		0.781250
858		-312.500000		1.562500
859		-312.500000		0.195313
860		-312.500000		1.562500
861		-312.500000		0.390625
862		-312.500000		2.343750
863		-312.500000		0.976563
864		-312.500000		2.148438
865		-312.500000		0.195313
866		-312.500000		1.367188
867		-312.500000		0.195313
868		-312.500000		1.367188
869		-312.500000		1.171875
870		-312.500000		1.757813
871		-312.500000		1.171875
872		-312.500000		1.757813
873		-312.500000		0.781250
874		-312.500000		1.367188
875		-312.500000		0.976563
876		-312.500000		2.148438
877		-312.500000		0.585938
878		-312.500000		2.734375
879		-312.500000		0.781250
880		-312.500000		1.757813
881		-312.500000		0.195313
882		-312.500000		1.367188
883		-312.500000		0.781250
884		-312.500000		0.781250
885		-312.500000		0.976563
886		-312.500000		1.562500
887		-312.500000		0.976563
888		-312.500000		1.367188
889		-312.500000		0.195313
890		-312.500000		1.953125
891		-312.500000		0.781250
892		-312.500000		2.539063
893		-312.500000		0.390625
894		-312.500000		1.757813
895		-312.500000		0.390625
896		-312.500000		1.367188
897		-312.500000		0.585938
898		-312.500000		1.757813
899		-312.500000		1.171875
900		-312.500000		1.953125
901		-312.500000		0.976563
902		-312.500000		1.367188
903		-312.500000		-0.585938
904		-312.500000		0.976563
905		-312.500000		0.976563
906		-312.500000		2.539063
907		-312.500000		1.171875
908		-312.500000		1.953125
909		-312.500000		0.585938
910		-312.500000		2.343750
911		-312.500000		0.195313
912		-312.500000		1.171875
913		-312.500000		0.390625
914		-312.500000		2.148438
915		-312.500000		0.976563
916		-312.500000		1.562500
917		-312.500000		0.390625
918		-312.500000		0.976563
919		-312.500000		0.585938
920		-312.500000		1.953125
921		-312.500000		0.976563
922		-312.500000		2.148438
923		-312.500000		0.390625
924		-312.500000		1.562500
925		-312.500000		0.195313
926		-312.500000		1.953125
927		-312.500000		0.390625
928		-312.500000		1.953125
929		-312.500000		0.781250
930		-312.500000		1.367188
931		-312.500000		0.195313
932		-312.500000		0.781250
933		-312.500000		0.976563
934		-312.500000		1.562500
935		-312.500000		1.171875
936		-312.500000		1.757813
937		-312.500000		0.781250
938		-312.500000		1.171875
939		-312.500000		0.390625
940		-312.500000		1.562500
941		-312.500000		0.781250
942		-312.500000		3.125000
943		-312.500000		0.781250
944		-312.500000		1.953125
945		-312.500000		0.195313
946		-312.500000		1.367188
947		-312.500000		0.390625
948		-312.500000		1.171875
949		-312.500000		0.976563
950		-312.500000		1.562500
951		-312.500000		0.976563
952		-312.500000		1.171875
953		-312.500000		0.195313
954		-312.500000		1.171875
955		-312.500000		0.390625
956		-312.500000		1.953125
957		-312.500000		0.585938
958		-312.500000		1.953125
959		-312.500000		0.195313
960		-312.500000		1.367188
961		-312.500000		0.390625
962		-312.500000		1.171875
963		-312.500000		1.171875
964		-312.500000		1.757813
965		-312.500000		1.562500
966		-312.500000		1.367188
967		-312.500000		0.390625
968		-312.500000		1.171875
969		-312.500000		0.781250
