Channel              :,CH1,CH2
Frequency            :,3.021kHz,3.021kHz
Period               :,0.331ms,0.331ms
PK-PK                :,5.313V,632.8mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.488281mV
Time interval        :,0.20000uS,0.20000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
687,-3125.000000,0.000000
688,-3125.000000,0.000000
689,-3125.000000,0.000000
690,-3125.000000,0.000000
691,-3125.000000,7.812500
692,-3125.000000,7.812500
693,-3125.000000,7.812500
694,-3125.000000,7.812500
695,-3125.000000,0.000000
696,-3125.000000,7.812500
697,-3125.000000,7.812500
698,-3125.000000,7.812500
699,-3125.000000,7.812500
700,-3125.000000,7.812500
701,-3125.000000,7.812500
702,-3125.000000,7.812500
703,-3125.000000,7.812500
704,-3125.000000,7.812500
705,-3125.000000,7.812500
706,-3125.000000,7.812500
707,-3125.000000,7.812500
708,-3125.000000,7.812500
709,-3125.000000,7.812500
710,-3125.000000,7.812500
711,-3125.000000,7.812500
712,-3125.000000,7.812500
713,-3125.000000,7.812500
714,-3125.000000,7.812500
715,-3125.000000,7.812500
716,-3125.000000,7.812500
717,-3125.000000,7.812500
718,-3125.000000,7.812500
719,-3125.000000,7.812500
720,-3125.000000,7.812500
721,-3125.000000,7.812500
722,-3125.000000,7.812500
723,-3125.000000,7.812500
724,-3125.000000,7.812500
725,-3125.000000,7.812500
726,-3125.000000,7.812500
727,-3125.000000,7.812500
728,-3125.000000,7.812500
729,-3125.000000,7.812500
730,-3125.000000,7.812500
731,-3125.000000,7.812500
732,-3125.000000,7.812500
733,-3125.000000,7.812500
734,-3125.000000,7.812500
735,-3125.000000,7.812500
736,-3125.000000,7.812500
737,-3125.000000,7.812500
738,-3125.000000,7.812500
739,-3125.000000,7.812500
740,-3125.000000,7.812500
741,-3125.000000,7.812500
742,-3125.000000,7.812500
743,-3125.000000,7.812500
744,-3125.000000,7.812500
745,-3125.000000,7.812500
746,-3125.000000,7.812500
747,-3125.000000,7.812500
748,-3125.000000,7.812500
749,-3125.000000,7.812500
750,-3125.000000,7.812500
751,-3125.000000,7.812500
752,-3125.000000,7.812500
753,-3125.000000,7.812500
754,-3125.000000,7.812500
755,-3125.000000,7.812500
756,-3125.000000,7.812500
757,-3125.000000,7.812500
758,-3125.000000,7.812500
759,-3125.000000,7.812500
760,-3125.000000,7.812500
761,-3125.000000,7.812500
762,-3125.000000,7.812500
763,-3125.000000,7.812500
764,-3125.000000,7.812500
765,-3125.000000,7.812500
766,-3125.000000,7.812500
767,-3125.000000,7.812500
768,-3125.000000,7.812500
769,-3125.000000,7.812500
770,-3125.000000,7.812500
771,-3125.000000,7.812500
772,-3125.000000,7.812500
773,-3125.000000,7.812500
774,-3125.000000,7.812500
775,-3125.000000,7.812500
776,-3125.000000,7.812500
777,-3125.000000,7.812500
778,-3125.000000,7.812500
779,-3125.000000,7.812500
780,-3125.000000,7.812500
781,-3125.000000,7.812500
782,-3125.000000,15.625000
783,-3125.000000,15.625000
784,-3125.000000,15.625000
785,-3125.000000,15.625000
786,-3125.000000,15.625000
787,-3125.000000,15.625000
788,-3125.000000,15.625000
789,-3125.000000,15.625000
790,-3125.000000,15.625000
791,-3125.000000,15.625000
792,-3125.000000,15.625000
793,-3125.000000,15.625000
794,-3125.000000,15.625000
795,-3125.000000,15.625000
796,-3125.000000,15.625000
797,-3125.000000,15.625000
798,-3125.000000,15.625000
799,-3125.000000,15.625000
800,-3125.000000,15.625000
801,-3125.000000,15.625000
802,-3125.000000,15.625000
803,-3125.000000,15.625000
804,-3125.000000,15.625000
805,-3125.000000,15.625000
806,-3125.000000,15.625000
807,-3125.000000,15.625000
808,-3125.000000,15.625000
809,-3125.000000,15.625000
810,-3125.000000,15.625000
811,-3125.000000,15.625000
812,-3125.000000,15.625000
813,-3125.000000,7.812500
814,-3125.000000,15.625000
815,-3125.000000,7.812500
816,-3125.000000,7.812500
817,-3125.000000,7.812500
818,-3125.000000,7.812500
819,-3125.000000,7.812500
820,-3125.000000,7.812500
821,-3125.000000,7.812500
822,-3125.000000,7.812500
823,-3125.000000,7.812500
824,-3125.000000,7.812500
825,-3125.000000,7.812500
826,-3125.000000,7.812500
827,-3125.000000,7.812500
828,-3125.000000,7.812500
829,-3125.000000,7.812500
830,-3125.000000,7.812500
831,-3125.000000,7.812500
832,-3125.000000,7.812500
833,-3125.000000,0.000000
834,-3125.000000,7.812500
835,-3125.000000,7.812500
836,-3125.000000,7.812500
837,-3125.000000,0.000000
838,-3125.000000,0.000000
839,-3125.000000,7.812500
840,-3125.000000,0.000000
841,-3125.000000,0.000000
842,-3125.000000,7.812500
843,-3125.000000,0.000000
844,-3125.000000,7.812500
845,-3125.000000,0.000000
846,-3125.000000,7.812500
847,-3125.000000,7.812500
848,-3125.000000,7.812500
849,-3125.000000,7.812500
850,-3125.000000,7.812500
851,-3125.000000,7.812500
852,-3125.000000,7.812500
853,-3125.000000,7.812500
854,-3125.000000,7.812500
855,-3125.000000,7.812500
856,-3125.000000,7.812500
857,-3125.000000,7.812500
858,-3125.000000,7.812500
859,-3125.000000,7.812500
860,-3125.000000,7.812500
861,-3125.000000,7.812500
862,-3125.000000,7.812500
863,-3125.000000,7.812500
864,-3125.000000,7.812500
865,-3125.000000,7.812500
866,-3125.000000,7.812500
867,-3125.000000,7.812500
868,-3125.000000,7.812500
869,-3125.000000,7.812500
870,-3125.000000,7.812500
871,-3125.000000,7.812500
872,-3125.000000,7.812500
873,-3125.000000,7.812500
874,-3125.000000,7.812500
875,-3125.000000,7.812500
876,-3125.000000,7.812500
877,-3125.000000,0.000000
878,-3125.000000,7.812500
879,-3125.000000,0.000000
880,-3125.000000,7.812500
881,-3125.000000,0.000000
882,-3125.000000,0.000000
883,-3125.000000,0.000000
884,-3125.000000,7.812500
885,-3125.000000,0.000000
886,-3125.000000,7.812500
887,-3125.000000,0.000000
888,-3125.000000,7.812500
889,-3125.000000,0.000000
890,-3125.000000,0.000000
891,-3125.000000,0.000000
892,-3125.000000,0.000000
893,-3125.000000,0.000000
894,-3125.000000,7.812500
895,-3125.000000,7.812500
896,-3125.000000,7.812500
897,-3125.000000,7.812500
898,-3125.000000,7.812500
899,-3125.000000,7.812500
900,-3125.000000,7.812500
901,-3125.000000,7.812500
902,-3125.000000,7.812500
903,-3125.000000,7.812500
904,-3125.000000,7.812500
905,-3125.000000,7.812500
906,-3125.000000,7.812500
907,-3125.000000,7.812500
908,-3125.000000,7.812500
909,-3125.000000,7.812500
910,-3125.000000,7.812500
911,-3125.000000,7.812500
912,-3125.000000,7.812500
913,-3125.000000,7.812500
914,-3125.000000,15.625000
915,-3125.000000,7.812500
916,-3125.000000,15.625000
917,-3125.000000,7.812500
918,-3125.000000,15.625000
919,-3125.000000,15.625000
920,-3125.000000,15.625000
921,-3125.000000,15.625000
922,-3125.000000,15.625000
923,-3125.000000,15.625000
924,-3125.000000,15.625000
925,-3125.000000,15.625000
926,-3125.000000,15.625000
927,-3125.000000,15.625000
928,-3125.000000,7.812500
929,-3125.000000,7.812500
930,-3125.000000,15.625000
931,-3125.000000,15.625000
932,-3125.000000,15.625000
933,-3125.000000,7.812500
934,-3125.000000,7.812500
935,-3125.000000,7.812500
936,-3125.000000,7.812500
937,-3125.000000,7.812500
938,-3125.000000,7.812500
939,-3125.000000,7.812500
940,-3125.000000,7.812500
941,-3125.000000,7.812500
942,-3125.000000,7.812500
943,-3125.000000,7.812500
944,-3125.000000,7.812500
945,-3125.000000,7.812500
946,-3125.000000,7.812500
947,-3125.000000,7.812500
948,-3125.000000,7.812500
949,-3125.000000,7.812500
950,-3125.000000,7.812500
951,-3125.000000,7.812500
952,-3125.000000,7.812500
953,-3125.000000,7.812500
954,-3125.000000,7.812500
955,-3125.000000,7.812500
956,-3125.000000,7.812500
957,-3125.000000,7.812500
958,-3125.000000,7.812500
959,-3125.000000,7.812500
960,-3125.000000,7.812500
961,-3125.000000,7.812500
962,-3125.000000,7.812500
963,-3125.000000,7.812500
