Channel,CH1,CH2
Frequency            :,  ?,5.668kHz
Period               :,  ?,0.176ms
PK-PK                :,3.047V,82.81mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.048828mV
Time interval        :,1.00000uS,1.00000uS
index,CH1_Voltage(mV),CH2_Voltage(mV)
528,-1406.250000,-19.531250
529,-1406.250000,-21.875000
530,-1406.250000,-17.187500
531,-1406.250000,-6.250000
532,-1406.250000,6.250000
533,-1406.250000,20.312500
534,-1406.250000,32.031250
535,-1406.250000,37.500000
536,-1406.250000,37.500000
537,-1406.250000,34.375000
538,-1406.250000,30.468750
539,-1406.250000,23.437500
540,-1406.250000,17.968750
541,-1406.250000,14.843750
542,-1406.250000,13.281250
543,-1406.250000,11.718750
544,-1406.250000,11.718750
545,-1406.250000,11.718750
546,-1406.250000,11.718750
547,-1406.250000,7.812500
548,-1406.250000,5.468750
549,-1406.250000,-0.781250
550,-1406.250000,-6.250000
551,-1406.250000,-10.937500
552,-1406.250000,-11.718750
553,-1406.250000,-14.062500
554,-1406.250000,-10.937500
555,-1406.250000,-8.593750
556,-1406.250000,-4.687500
557,-1406.250000,-3.125000
558,-1406.250000,1.562500
559,-1406.250000,2.343750
560,-1406.250000,4.687500
561,-1406.250000,7.031250
562,-1406.250000,9.375000
563,-1406.250000,8.593750
564,-1406.250000,10.937500
565,-1406.250000,11.718750
566,-1406.250000,14.843750
567,-1406.250000,16.406250
568,-1406.250000,21.093750
569,-1406.250000,21.875000
570,-1406.250000,24.218750
571,-1406.250000,22.656250
572,-1406.250000,18.750000
573,-1406.250000,11.718750
574,-1406.250000,7.812500
575,-1406.250000,0.000000
576,-1406.250000,-3.906250
577,-1406.250000,-7.812500
578,-1406.250000,-9.375000
579,-1406.250000,-12.500000
580,-1406.250000,-10.937500
581,-1406.250000,-10.937500
582,-1406.250000,-9.375000
583,-1406.250000,-8.593750
584,-1406.250000,-3.125000
585,-1406.250000,0.000000
586,-1406.250000,4.687500
587,-1406.250000,7.812500
588,-1406.250000,13.281250
589,-1406.250000,15.625000
590,-1406.250000,18.750000
591,-1406.250000,19.531250
592,-1406.250000,21.875000
593,-1406.250000,19.531250
594,-1406.250000,19.531250
595,-1406.250000,16.406250
596,-1406.250000,14.062500
597,-1406.250000,10.937500
598,-1406.250000,7.031250
